title,company,location,posted date,link,description,scraped date
Associate Data Analyst,Zest AI,United States,3 weeks ago,https://www.linkedin.com/jobs/view/associate-data-analyst-at-zest-ai-3826293682?position=2&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=Xdlk1XhJfA8%2BOUFeINoZBg%3D%3D&trk=public_jobs_jserp-result_search-card,"Zest AI has been perfecting AI for consumer lending decisions since 2009. Our mission is to make fair and transparent credit available to everyone and our AI-enabled software creates some of the most inclusive risk models in the industry. Our Model Management System helps lenders make better decisions and better loans — increasing revenue, reducing risk, and automating compliance — while expanding credit access to deserving people with no added risk!Our technology teams at Zest AI thrive on solving challenging problems that have a big impact on people's daily lives. We build tools to improve consumer lending by meeting the needs of financial institutions and their customers around the world. By leveraging a combination of machine learning and vast amounts of data, we seek to challenge traditional credit scoring models, while expanding the use of our proprietary technology across the fintech industry. Our team is committed to continuously leveraging and adapting the latest advances in AI/ML to benefit those we serve.As a Data Analyst, you will be responsible for interpreting and analyzing complex data sets, developing insights to help drive business strategies, and communicating your findings to both technical and non-technical team members. You will also be involved in project management, ensuring that data-driven projects are completed on time and within scope. In this role, you will work closely with Data Scientists, Engineers, and our Client Success team to ensure our data solutions meet and exceed client expectations. Additionally, you will have the opportunity to drive your own research projects under the guidance of senior team members.Responsibilities:- Analyze and interpret complex data sets and machine learning model results using advanced statistical techniques. - Translate model results to business impact.- Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality- Identify, analyze, and interpret trends or patterns in complex data sets- Work closely with management to prioritize business and information needs- Communicate findings to company through standard and ad hoc reports- Promote and support data-driven decision making within the organizationRequirements:- Expertise in data wrangling and manipulation in Python and SQL- Solid understanding of machine learning and statistical analysis- Excellent business acumen and ability to understand and solve complex business problems- Strong coding skills, comfortable with Object-Oriented Programming- Strong communication skills, with the ability to present complex data in a clear and concise manner- Good project management skills, with a proven track record of delivering projects on time and within scope- Bachelor's degree in Computer Science, Statistics, or a related fieldPerks and benefits:All Zestys experience:The opportunity to join a mission-focused companyPeople – the best part of ZestRobust medical, dental and vision insurance plansAnnual bonus plan participation401(k) with generous matchEmployee Awards and Recognition11 company holidaysWinter break (office closed between Christmas and New Year's Day)Unlimited vacation timeEmployee Resource GroupsGenerous family leave policy (12 week maternity leave / 6 week paternity leave)Phone, internet, wellness, and professional development allowancesEmployee gatherings, including Town Hall meetingsAdditionally, our Burbank, CA area, hybrid model Zestys enjoy:Beautiful, modern, dog-friendly office with lounge areas, video games, and gigantic jigsaw puzzlesDaily catered lunches from LA’s best restaurants and a fully stocked kitchenComplimentary manicures, pedicures, and mindfulness sessionsCompany happy hours, social events, outings, and much more!About Zest AI:Creating a diverse and inclusive culture where all are welcomed, valued, and empowered to achieve our full potential is important to who we are and where we’re headed in the future. We know that unique backgrounds, experiences, and perspectives help us think bigger, spark innovation, and succeed together. Zest is committed to diversity, equity, and inclusion and encourages professionals from underrepresented groups in technology and financial services to apply.Our core values are Communication, Collaboration, Bias for Action, Client-centricity, and Heart. Learn more at Zest.ai, follow us on LinkedIn (linkedin.com/company/zest-ai/) or Twitter @Zest_AI, or check out our Insights blog (https://www.zest.ai/cms/insights).



        
            Show more
          

          



        
            Show less",2024-03-07 00:36:07.000598
Data Analyst (Superset),Get Well,United States,2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-superset-at-get-well-3835693870?position=4&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=zMLoiMFCar6p0arinvi3xQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Title: Data Analyst (Superset)Reporting to: Managing Director, Data Science & Analytics / Head Data ScientistLocation: This is a remote / work from home positionOpportunity:The Data Analyst role will be responsible for ongoing and retrospective analyses of product and provider data, generating insights and creating custom data reports to evaluate the current state of patient experiences and outcomes, as well as to inform future opportunities. In conjunction with the Client Success team, the Data Analyst will be responsible for developing data frameworks; creating stories with data that review critical business processes; monitoring and reporting on progress at client sites; and performing investigations that inform operational changes and shape the vision of the team. Additionally, the Data Analyst role will work closely with the product and engineering teams to maintain and improve Get Well’s Business Intelligence (BI) capabilities. In particular, the Data Analyst will coordinate with engineers and product team members to ensure that Get Well’s data architecture and practices are aligned with the needs and goals of Client Success, and Get Well’s evolving technology platform.Responsibilities:Collect, analyze, and generate weekly/monthly data and reports for individual client sites, demonstrating current and cumulative performance Acquire, sanitize, merge, and transform complex multi-sourced data in support of various analyses and projects In conjunction with the Client Success team, review reporting processes, create and maintain dashboards and tools to track and inform team metrics across multiple client sitesModel Get Well’s core values of empathy and service to build trusted partnerships with provider organizations in order to achieve transformative change and exceptional performanceContinually iterate and improve Get Well’s service offering through genuinely innovative and transformative insight and product developmentRequirements:Bachelor’s degree in mathematics, science, statistics, or related fieldExpert skills in a Business Intelligence Platform - Superset strongly preferred but Tableau, Power BI, Looker, etc are acceptable - including at least one year of professional experience in manipulating data and creating dashboards and visualizationsStrong competency with SQL queryingStrong competency in Python or R is a plusCompetency with Google Sheets or Microsoft Excel, including pivot tables and advanced formulasEntrepreneurial mindsetStrong analytical skills with a proven ability to collect, organize, analyze, and disseminate significant amounts of informationAn exceptionally high attention to detail, natural curiosity, and an eye for recognizing trends and gaps2-3 years of industry relevant experience in analytics, data management, healthcare, consulting, or other relevant fieldsAbility to adapt to changing priorities and juggle multiple asksSelf-driven and able to operate with a high degree of independence and integrityExcellent written and oral presentation skills, with the ability to engage, inspire, build credibility and engender trust across all levels of an organizationAbout Get Well:We are a global digital health company with more than 20 years of experience improving patient engagement. Through partnerships with some of the most progressive hospitals and health systems in the world, we use digital technology to improve the healthcare experience for patients, their families, and clinicians.The estimated pay scale for this position is between $70,000 and $82,000 in base salary, plus annual bonus potential of 10%. Base salary is dependent upon many factors including, but not limited to, education, experience, and skills and this range is subject to change and may be modified in the future. In addition to compensation, Get Well offers a comprehensive benefit package, 401K and incentive plans, open paid-time away, paid leave programs, wellness reimbursement, cell phone subsidy, peer recognition programs, health advocacy and employee assistance programs, pet insurance, and so much more.Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.
        


        
            Show more
          

          



        
            Show less",2024-03-07 00:36:24.079465
Data Analyst,HelloFresh,"Irving, TX",3 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-hellofresh-3827261667?position=5&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=1Ps%2BwvxoPh7bnJ9S52doGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Come see what’s cookin’ at HelloFresh!At HelloFresh, we want to revolutionize the way we eat by making it more convenient and exciting to cook meals from scratch. We have offices all over the world and we deliver delicious meals to millions of people.We are the industry leader in meal-kit subscription services and we’re growing all the time. We have distinct meal-kit services that cater to everyone with the most menu variety in the market, which allows us to reach an incredibly wide population of people.The HelloFresh team is diverse, high-performing, and international, and our work environment is an inspiring space where you can thrive as a result.Job DescriptionThe Fulfillment Planning Technology team is building the next generation suite of internal tools that enable Planning and Operations teams to see and act quickly to changing business conditions. The Data Analyst will help maintain & troubleshoot Google Sheets based legacy planning tools and extract powerful insights from data to power our products and services.What You'll DoCollaborate with other team members to troubleshoot and perform root cause analysis on legacy Google Sheets Extract and analyze data to develop powerful data-driven insights using Google Sheets and SQLDevelop dashboards and visualizations to present insightsCollaborate with other team members to integrate insights into toolsWork with other analysts, engineers and planners to design, build, and maintain efficient, scalable and reliable data pipelines to support our business-critical needs in data ingestion, processing, and analysisWhat You'll BringYou have a bias for action which shows up as proactivity, collaboration, and sharing of knowledgeStrong proficiency in Google Sheets/Excel and SQLExperience building dashboards in Tableau2+ years of data analytics, data science, or engineering experienceBachelor’s degree in a relevant fieldExperience with Python for data manipulation and analysis a plusStartup experience a plusExperience with Fulfillment, Logistics, Supply Chain or Production a plusSchedule: The person in this role is expected to work in US Eastern time starting at 8AM. This is a full-time (40 hours, 5 days per week) role that requires working on Sunday and any other 4 days of the week.It is the policy of HelloFresh not to discriminate against any employee or applicant for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran.CO Application Deadline: 03/05/2024New York Pay Range$78,750—$100,000 USDColorado Pay Range$71,250—$95,000 USDJR100625



        
            Show more
          

          



        
            Show less",2024-03-07 00:36:31.976992
Data Analyst,ID.me,"McLean, VA",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-id-me-3832206853?position=6&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=d51p7viAjlaXUraendijVg%3D%3D&trk=public_jobs_jserp-result_search-card,"Company OverviewID.me is a high-growth enterprise software company that simplifies how people prove and share their identity online. The company empowers people to control their data through a portable and trusted login, which means they don’t need to create a new password when visiting sites that have the ID.me button. ID.me’s digital identity network has over 117 million registered members, and is used by fourteen federal agencies, agencies in 30 states and over 600 corporations for secure identity proofing and verification.ID.me’s technology meets the federal standards for consumer authentication set by the Commerce Department and is approved as a NIST 800-63-3 IAL2 / AAL2 credential service provider by the Kantara Initiative. In addition to helping people control their credentials and data, the company’s “No Identity Left Behind” initiative strives to expand digital access and inclusion for all people. The company offers multiple pathways to identity verification – online self-serve, live video chat agents, and in person. ID.me is passionate about building a robust identity network that does not compromise access for traditionally underserved groups.ID.me has received numerous awards including Deloitte’s 2023 Technology Fast 500, Washington Business Journal’s Fastest Growing Companies, Entrepreneur Magazine’s 100 Brilliant Companies and Wall Street Journal’s Startup of the Year finalist. In recent quarters, ID.me announced it raised $132 million in Series D funding, led by Viking Global Investors with participation from CapitalG, Morgan Stanley Counterpoint, FTV Capital, PSP Growth, Auctus Investment Group, Moonshots Capital, and Scout Ventures. ID.me’s most recent round brings the total investment in ID.me to over $275 million since its founding in 2010.Role OverviewID.me is the most trusted digital identity network, providing mobile and online identity verification SaaS technology in the U.S. Our mission is to make the world a more trusted place by facilitating transparent, efficient, and secure interactions between people and organizations. With over 117M members and counting, we’re just getting started.We’re looking for a detail-oriented Data Analyst to work with our Member Operations team. This person will quickly deliver insights, review and develop metrics, and contribute to improved business processes to scale analytics that support our explosive growth.ResponsibilitiesWork collaboratively with the Member Operations team to define and analyze metrics to track the success of the business with a primary focus on member experience, service levels, and business performanceImprove business understanding of our members, our products, and our profitability through data analysis, data visualization, and storytelling techniques Drive cross-functional and enterprise-wide solutions, providing thought leadership within and beyond working groupConvey insights and impact decisions/outcomes to senior leadershipDesign dashboards to monitor KPIs and business metrics in a readable and digestible format that allows quick insights into performanceFrame business problems in analytical language and converting business requirements into datasets, analyses, models, and reportsInterpret data to discover patterns and identify trends that support growth and increase efficiencies, implementing enhancements to address control gapsBuild and automate tools to surface key data to stakeholders across a broad range of data literacy levelsProvide ad hoc analysis and forecasting as needed across a diverse set of teams and needs to support existing customers, future sales, and strategic business decisionsProvide support to the Data Engineering and Data Science teamsQualifications1+ years experience in data analytics, business analytics, statistical modeling, or related fieldBS/BA degree required, with a degree in engineering, computer science, data analytics, mathematics, statistics, economics, or related quantitative discipline preferredManagement consulting experience is a plusResults-oriented mindset with an intense focus on achieving both short and long-term goalsA proven track record of problem-solving based on analytics to support business recommendationsStrong written and verbal communication skills and comfort engaging with senior leadershipExperience at a fast-paced startup is a plusDemonstrating the ability to tell stories with data through the use of data visualization, dashboards and/or slides calling out key data insights; Tableau and LookrDemonstrating statistical modeling, applied mathematics or STEM; R or PythonDemonstrating data querying, exploration, and validation; SQL and DBTThe annual base salary listed below for this role is based on experience, skills, education, relevant training and geographic location. Company bonus, incentive for sales roles, equity, and benefits are available depending on the role.ID.me offers comprehensive medical, dental, vision, health savings account, flexible spending accounts (medical, limited purpose, dependent care, commuter benefit accounts), basic and voluntary life and AD&D insurance, 401(k) with company match, parental leave, ability to participate in unlimited paid time off subject to the terms and conditions of the PTO policy, including 8 company wide holidays, short and long-term disability insurance, accident and critical illness insurance, referral bonus policy, employee assistance program, pet insurance, travel assistant program, wellbeing and childcare discounts, benefit advocates, and a learning and development benefit.The above represents the anticipated total rewards package for this job requisition. Final offers may vary from the amount listed based on qualifications, professional experiences, skills, education, relevant training, geographic location, and other job related factors.Pay Range$101,000—$124,000 USDID.me maintains a work environment free from discrimination, where employees are treated with dignity and respect. All ID.me employees share in the responsibility for fulfilling our commitment to equal employment opportunity. ID.me does not discriminate against any employee or applicant on the basis of age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. ID.me adheres to these principles in all aspects of employment, including recruitment, hiring, training, compensation, promotion, benefits, social and recreational programs, and discipline. In addition, ID.me's policy is to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations and ordinances where a particular employee works. Upon request we will provide you with more information about such accommodations.Please review our Privacy Policy, including our CCPA policy, at id.me/privacy. If you provide ID.me with any personally identifiable information you confirm that you have read and agree to be bound by the terms and conditions set out in our Privacy Policy.ID.me participates in E-Verify.



        
            Show more
          

          



        
            Show less",2024-03-07 00:36:39.891465
"Data Analyst, HR Technology",Meta,"New York, NY",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-hr-technology-at-meta-3835151556?position=7&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=I4Ed6E9j7%2B3wmVqRw9Cy6A%3D%3D&trk=public_jobs_jserp-result_search-card,"Meta’s People Data Solutions team is seeking an experienced Data Analyst to provide technical solutions for the HR Technology data ecosystems. You’ll be responsible for developing data products such as statistical models and forecasts, complex queries, and Tableau dashboards. You will also play a consultative role where you will guide partners and stakeholders in defining metrics, interpreting data visualizations, and interpreting results of analysis. You will also be responsible for upkeep and maintenance of existing products, which may require deep dive analysis to validate data quality, integrity, and accuracy of enterprise data solutions. As with any role with Meta, flexibility as we adopt changes as the business needs to transform.To be successful in this role, you'll have a passion for data, the ability to manage multiple projects concurrently, and enjoy a fast-moving organization. You’ll identify ways to tell a compelling story with data and strong design principles. You will thrive within cross-functional teams, excel at building and managing relationships with internal partners and stakeholders, and exhibit excellent organizational and presentation skills. Creativity, optimism, and out-of-the-box thinking are encouraged.Data Analyst, HR Technology Responsibilities:Build rich and dynamic dashboards using out-of-box features, customizations, and visualizations using Tableau and SQLExplore and recommend emerging technologies and techniques to support/enhance BI landscape componentsParticipate in the ongoing development of the business intelligence and data solution ecosystem within the wider organizationProvide summary documentation on all analysis results to stakeholders, XFNs, or LeadershipUncover gaps in current insight tools, integrate new analytics and tracking solutions to surface dataLeverage tools such as SQL, Tableau, Workday, and Excel to drive analytics and enable client self-service on routine queriesAct as an internal consultant by understanding business needs, scoping data requests, synthesizing insights, and recommending solutions to key business partnersApply expertise in quantitative analysis and the presentation of data to see beyond the numbers and help inform, influence, support, and execute our business decisionsCollaborate with cross-functional partners to execute and deliver scalable solutions, while influencing roadmap goalsMinimum Qualifications:Bachelor’s degree4+ years’ reporting and analytics experienceExperience working in a quick changing environmentExperience to manipulate, store, and report on data via Excel and/or SQLExperience using visualization tools (e.g., Tableau) to communicate and present insightsExperience in building relationships and collaborating within a cross-functional teamPreferred Qualifications:Degree in a quantitative field, such as Applied Statistics, Mathematics, Finance, Statistics, Economics, Operations Research, or Information SystemsExperience with HR and Recruiting dataOutstanding organizational, time management, and communication skills Strong presentation skillsExperience dealing with ambiguity, needs to understand and react quickly to changing priorities even when not all the information is availableAbout Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.
        


        
            Show more
          

          



        
            Show less",2024-03-07 00:36:49.918953
Data Analyst,JCW,"New York, NY",1 week ago,https://www.linkedin.com/jobs/view/data-analyst-at-jcw-3837333493?position=8&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=MZOJbO3RkPIilNSbLT3TDA%3D%3D&trk=public_jobs_jserp-result_search-card,"I'm working with an international investment bank that is seeking a Data Analyst who will help design, develop, and implement reports through PowerBI. The role will work closely with the compliance team and provide analytical reports for senior leadership. Must Haves - Experience within the financial services industry. Hands on experience in data analytics, dashboards, and reporting. Experience with PowerBI, or other data analytics tools.



        
            Show more
          

          



        
            Show less",2024-03-07 00:36:56.649758
Data Analyst,"The Brixton Group, Inc.","Boston, MA",3 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-the-brixton-group-inc-3829320329?position=9&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=EhVtK%2B6UGdqwEEmXXYYiuQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Looking for a Data Analyst who specializes in rationalizing duplicate data within datasets. The ideal candidate will have experience in data quality, proficiency with data quality tools, and a strong understanding of automated profiling techniques. Retail industry experience is desired but not required.ResponsibilitiesIdentify and rationalize duplicate data within our datasets to ensure data accuracy and consistency.Utilize data quality tools to profile, cleanse, and standardize datasets.Develop and implement automated processes for identifying and resolving duplicate data.Collaborate with cross-functional teams to understand data requirements and address data quality issues.Create and maintain documentation related to data quality processes and procedures.Analyze data using SQL queries and generate insights to support business decisions.Develop interactive reports and dashboards using Power BI to visualize data quality metrics and trends.QualificationsProven experience as a Data Analyst, with a focus on data quality and duplicate data rationalization..Proficiency in SQL for data manipulation and analysis.Strong analytical and problem-solving skills with attention to detail.Experience with Power BI or similar data visualization tools.Knowledge of Python is a plus, but not required.Excellent communication and collaboration skills.Retail industry experience is desired.



        
            Show more
          

          



        
            Show less",2024-03-07 00:37:03.312805
Data Analyst,Emonics LLC,"New Jersey, United States",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-emonics-llc-3830360460?position=10&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=p1Sypfc134I3vaThPErWNw%3D%3D&trk=public_jobs_jserp-result_search-card,"Extracting data from primary and secondary sources and removing corrupted dataEnsuring that the data is accurate and high-quality.Developing and managing data systems and databasesEstablishing KPIs that provide actionable insights.Using data to analyse trends that help inform business policies and decisions.Collaborating with engineers and developers to develop and streamline data governance strategies.



        
            Show more
          

          



        
            Show less",2024-03-07 00:37:09.920257
Data Analyst,Peak Gardens,"Naples, FL",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-peak-gardens-3848405998?position=11&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=V7008%2FzOANUKtU1eIeLYpw%3D%3D&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Analyst for our organization. The candidate is supposed to have good skills in healthcare administration. After this, you will have to collect, compile and process raw information. You will have to assess data, understand the patterns and identify discrepancies in it.To become an ideal candidate you are expected to have good knowledge of data sharing and storage. You must exhibit good analytical skills, communication skills, and organization skills.ResponsibilitiesIdentify the different sources of data collection and collect data from these sources.Assess data to understand the patterns and identify discrepancies if any.Develop models that can execute good number of healthcare operations.Understand data sharing and storing methods.Suggest ways to increase the quality of healthcare services, reduce expenditure and achieve the administrative goals.Work closely with the management department and other internal teams to support improvements.RequirementsProven experience as a Healthcare Data Analyst or in other relevant roles.Hands-on experience in data analysis and visualization.Good knowledge of healthcare operations and procedures.Working experience with electronic medical devices and records.Problem solving abilities.Skills: healthcare,skills,administrative,analytical skills,communication,other,data analysis,online data entry
        


        
            Show more
          

          



        
            Show less",2024-03-07 00:37:15.526230
Data Analyst (Superset),Get Well,"Bethesda, MD",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-superset-at-get-well-3835766807?position=12&pageNum=0&refId=w45TC0N6JHvoP3vnpt9WMg%3D%3D&trackingId=zmCN7T55XIj7AndS%2Bhowrw%3D%3D&trk=public_jobs_jserp-result_search-card,"Title: Data Analyst (Superset)Reporting to: Managing Director, Data Science & Analytics / Head Data ScientistLocation: This is a remote / work from home positionOpportunity:The Data Analyst role will be responsible for ongoing and retrospective analyses of product and provider data, generating insights and creating custom data reports to evaluate the current state of patient experiences and outcomes, as well as to inform future opportunities. In conjunction with the Client Success team, the Data Analyst will be responsible for developing data frameworks; creating stories with data that review critical business processes; monitoring and reporting on progress at client sites; and performing investigations that inform operational changes and shape the vision of the team. Additionally, the Data Analyst role will work closely with the product and engineering teams to maintain and improve Get Well’s Business Intelligence (BI) capabilities. In particular, the Data Analyst will coordinate with engineers and product team members to ensure that Get Well’s data architecture and practices are aligned with the needs and goals of Client Success, and Get Well’s evolving technology platform.Responsibilities:Collect, analyze, and generate weekly/monthly data and reports for individual client sites, demonstrating current and cumulative performance Acquire, sanitize, merge, and transform complex multi-sourced data in support of various analyses and projects In conjunction with the Client Success team, review reporting processes, create and maintain dashboards and tools to track and inform team metrics across multiple client sitesModel Get Well’s core values of empathy and service to build trusted partnerships with provider organizations in order to achieve transformative change and exceptional performanceContinually iterate and improve Get Well’s service offering through genuinely innovative and transformative insight and product developmentRequirements:Bachelor’s degree in mathematics, science, statistics, or related fieldExpert skills in a Business Intelligence Platform - Superset strongly preferred but Tableau, Power BI, Looker, etc are acceptable - including at least one year of professional experience in manipulating data and creating dashboards and visualizationsStrong competency with SQL queryingStrong competency in Python or R is a plusCompetency with Google Sheets or Microsoft Excel, including pivot tables and advanced formulasEntrepreneurial mindsetStrong analytical skills with a proven ability to collect, organize, analyze, and disseminate significant amounts of informationAn exceptionally high attention to detail, natural curiosity, and an eye for recognizing trends and gaps2-3 years of industry relevant experience in analytics, data management, healthcare, consulting, or other relevant fieldsAbility to adapt to changing priorities and juggle multiple asksSelf-driven and able to operate with a high degree of independence and integrityExcellent written and oral presentation skills, with the ability to engage, inspire, build credibility and engender trust across all levels of an organizationAbout Get Well:We are a global digital health company with more than 20 years of experience improving patient engagement. Through partnerships with some of the most progressive hospitals and health systems in the world, we use digital technology to improve the healthcare experience for patients, their families, and clinicians.The estimated pay scale for this position is between $70,000 and $82,000 in base salary, plus annual bonus potential of 10%. Base salary is dependent upon many factors including, but not limited to, education, experience, and skills and this range is subject to change and may be modified in the future. In addition to compensation, Get Well offers a comprehensive benefit package, 401K and incentive plans, open paid-time away, paid leave programs, wellness reimbursement, cell phone subsidy, peer recognition programs, health advocacy and employee assistance programs, pet insurance, and so much more.Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.Powered by JazzHRYx7jqyzhn5
        


        
            Show more
          

          



        
            Show less",2024-03-07 00:37:23.208856
