title,company,location,posted date,link,description,scraped date
Junior Data Analyst,EY,"Colorado, United States",2 weeks ago,https://www.linkedin.com/jobs/view/junior-data-analyst-at-ey-3835359962?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=I3I6fz41nkXalGKBi%2BKSqg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"En EY, tendrás la oportunidad de construir una carrera tan única como tú, con alcance global, apoyo, una cultura de inclusión y tecnología para convertirte en la mejor versión de ti. Contamos con tu talento y perspectiva para que EY también sea mucho mejor. Únete a nosotros y construye una experiencia excepcional para ti, y un mejor mundo de negocios para todos.Aquí en EY centrarás tu inteligencia e imaginación en los temas más cruciales y complejos a los que se enfrentan las empresas, el gobierno y la sociedad actual. A través de retos podrás llenarte de conocimientos y experiencia que desarrollen tus habilidades para contribuir al desarrollo de tu carrera profesional.La oportunidadÚnete a nuestro equipo y participa en proyectos de reporting y análisis de datos con clientes de Estados Unidos.Principales responsabilidadesLos servicios de Consultoría de EY tienen la amplitud y profundidad para proporcionar asesoría estratégica para ayudar a lograr resultados óptimos y sostenibles. Nuestro equipo global de consultores aporta una gran experiencia y un profundo rigor analítico a cada cliente. Desde el desarrollo de las primeras ideas hasta la implementación de estrategias con acciones concretas, estamos dispuestos a trabajar para definir estrategias que inspiren a sus clientes y empleados a alcanzar el gran potencial de su negocio.Habilidades y atributos para postularte exitosamentePara calificar al rol, debes contar con:Estudiantes con disponibilidad de tiempo completo, Técnico, Tecnólogo o Profesional en Ingeniería de Sistemas, Electrónica o áreas afines a tecnología.Mínimo 1 a 2 años de experiencia como analista de datos.Conocimientos sólidos en Excel, Power BI y DAX.Inglés avanzado indispensable. (EXCLUYENTE)Nice to have:Conocimientos en cubos OLAP.Lo que buscamos:Colaborar en EY es un reto, necesitamos que adoptes nuevas tecnologías todos los días además de ser progresivo e innovador, sin perder de vista los estándares de calidad a los que nuestros clientes están acostumbrados. Además, debes visualizar siempre cómo contribuir a la sociedad, analizando y pensando siempre en cómo tu labor beneficia al mundo, siendo socialmente responsable y procurando el medio ambiente.Queremos que en EY seas la mejor versión de ti mismo, por eso buscamos que veas por tu bienestar, seas curioso y abraces el cambio.Te ofrecemosTrabajar con tecnologías emergentes. Buscar nuevas oportunidades. Reinventarte cada día. Nuestra cultura de innovación en EY significa aceptar el cambio en todo lo que haces, desde la aplicación de nuevas tecnologías hasta la mejora de los procesos existentes. Tus ideas poderosas desbloquearán todo tu potencial, y el nuestro.Además, podrás tener una carrera personalizada. Cuando tú prosperas, nosotros prosperamos. El paquete de beneficios de EY va más allá, enfocándose en tu bienestar físico, emocional, financiero y social.Aprendizaje continuo: desarrollarás una mentalidad y habilidades que te lleven a navegar ante el futuro.Éxito definido por ti: te daremos herramientas y flexibilidad, de esa manera tendrás un impacto significativo de la manera que lo deseas.Liderazgo transformacional: te daremos las ideas, coaching y la confianza para ser el líder que el mundo necesita.Una cultura diversa e incluyente: te valoraremos por lo que eres y te empoderaremos para que uses tu voz y así, ayudes a otros a alzar la suya.Acerca de EYComo líder global en servicios de aseguramiento, impuestos, transacciones y asesoría, estamos utilizando los productos financieros, experiencia y sistemas que hemos desarrollado para construir un mejor entorno de negocios. Esto comienza con una cultura que te ofrece la capacitación, las oportunidades y la libertad creativa que necesitas para mejorar las cosas. Sin importar el momento en que te unas a la firma, y sin importar cuánto tiempo te quedes, la experiencia excepcional de trabajar en EY dura para toda la vida. Y con nuestro compromiso por contratar y preparar a la gente más apasionada.Si puedes demostrar que cumples con los criterios anteriores, contáctanos lo más pronto posible.Envía tu solicitud ahora.                    Show more                                        Show less",2024-03-12 18:29:54.157764
Product Data Analyst - Samsung Ads,Samsung Electronics America,"New York, United States",4 days ago,https://www.linkedin.com/jobs/view/product-data-analyst-samsung-ads-at-samsung-electronics-america-3846406837?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=P9ZOAJcpEd%2FMG7ZlakU1QQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Location: New YorkWe are seeking a talented Product Data Analyst with strong technical acumen and a proven track record of success to join our dynamic team.Job Description:As a Product Analyst at Samsung Ads, you will play a pivotal role in analyzing complex datasets, deriving actionable insights, and informing key business initiatives. The ideal candidate will possess a minimum of 4+ years of experience in data analysis, with a deep understanding of statistical methods and proficiency in data manipulation tools and techniques.Responsibilities:● Collaborate with cross-functional teams to understand business requirements and translate them into data analysis tasks.● Acquire, clean, and preprocess data from various sources to ensure accuracy, completeness, and reliability.● Utilize statistical techniques and data visualization tools to analyze and interpret large datasets, uncovering trends, patterns, and correlations.● Develop and maintain dashboards, reports, and visualizations to communicate findings and insights to stakeholders.● Conduct ad-hoc analysis and hypothesis testing to address specific business questions or challenges.● Identify opportunities for process improvement and automation to enhance efficiency and scalability.● Stay informed about industry trends, emerging technologies, and best practices in data analysis and visualization.● Synthesize raw data into actionable insights to drive business results, identify key trends and opportunities and report the findings in a simple, compelling way● Design and maintain data systems and databases; this includes fixing coding errors and other data-related problemsRequirements:● Bachelor's degree in a quantitative field such as Statistics, Mathematics, Economics, Computer Science, or related discipline. Advanced degree preferred.● Proven experience in data analysis, with 4+ years of hands-on experience in a similar role.● Strong proficiency in data manipulation and analysis using tools such as SQL, Python, R, or similar programming languages.● Experience working with data visualization tools such as Tableau, Power BI, or similar platforms.● Solid understanding of statistical methods and techniques, including hypothesis testing, regression analysis, and machine learning.● Excellent problem-solving skills and attention to detail, with the ability to thrive in a fast-paced environment.● Effective communication and interpersonal skills, with the ability to convey technical concepts to non-technical stakeholders.● Proactive attitude towards learning and professional development.If you are a data-driven professional with a passion for turning data into actionable insights, we encourage you to apply for this exciting opportunity.                    Show more                                        Show less",2024-03-12 18:30:02.110360
Data Analyst,The Walt Disney Company,"Santa Monica, CA",1 day ago,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3808260243?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=S15lJ%2FcaV2Gwvm4Ykl4FvQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Disney’s Direct to Consumer Data team is seeking a Data Analyst who will be an outstanding addition to the Product & Tech Analytics team. The team partners with other teams across the business to turn data into information, information into insights and insights into key business decisions that steer the strategic direction of the company. This position will support in designing innovative analytic approaches to test hypotheses, extract actionable insights by identifying patterns in structured and unstructured data, and develop recommendations to drive business performance. You will be supported by your manager as you get up to speed on the data, product, and business partners.This role is for the User Experience (UX) Analytics team, which has historically focused on the Streaming Apps (D+, Hulu, Star+) and has done extensive work in understanding user navigation and pathing, determining the optimal ad load, audience sizing estimation using maturity rating settings, and recommending thresholds for episode completion that lead to positive user experiences.ResponsibilitiesHelp expand our product and tech analytical role across more of the Disney family properties through analyses and testing surrounding the user experience of both their sites and appsBuild analysis, data visualizations, and multi-functional reporting that provides critical support to the operations and decision-making of the organizationHelp to advance the analytical capabilities of the business, collaborate in the design of diagnostic solutions, and deliver outstanding data insights and productsDevelop metrics that describe the user behavior within the app to help contextualize performance for new features and surface areasUse internal analytics and data visualization tools, SQL, and scripting languages to access and analyze multivariate dataFoster positive relationships and transparent dialogue with the business community and data colleaguesProvide analytics expertise to key business partners regarding data & analytics questions, communicating insights to domain expertsBasic QualificationsA bachelor's degree or higher in an analytical field or related fieldUnbridled curiosity, high intellectual and analytical horsepower, and a passionate pursuit of analytics driven insights and business outcomesAt least 3 years of experience as an analyst in a data and analytics domain with proficient SQL, Python, or R skills for complex querying, advanced analysis, performance optimization, and working with data at scaleExperience with a data visualization tool like Tableau, Looker, QlikView, MicroStrategy, Plotly, etc.Experience delivering end-to-end data-driven projects: taking them from vague requirements, to an impactful story, accessible across diverse audiences, and ultimately to a clear business outcomeAbility to build strong working relationships with teammates, business partners, and technical colleaguesPreferred QualificationsAbility to identify and appropriately call out issues to leadershipStrong motivation and ability to learn from questions and experiencesOutstanding written and oral communication skillsSense of humorThe hiring range for this position in New York, NY is $98,000 to $131,300 per year and in Santa Monica, CA is $93,400 to $125,200 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.                            Show more                                        Show less",2024-03-12 18:30:08.147662
Data Analyst,Sinch,United States,1 day ago,https://www.linkedin.com/jobs/view/data-analyst-at-sinch-3853389120?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=4XOBBTYlHTE1ClEpktbHFg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are Sinch. With presence in more than 55 countries, we're a growing global organization that helps amazing companies engage with customers on their mobile phones. And whether you know us or not, you've definitely used our tech. We reach every phone on earth, with over 147 billion conversations every year.This is a chance for you to dream even bigger than ever. And because we believe that equal opportunities are the key to our success, no matter who you are, you'll be able to explore career options, face fascinating challenges, building your skills alongside amazing experts. It's not easy to reach every person, on every phone, on every channel, everywhere. Create the software that makes it happen. Join our team as a Data Analyst!The essence of the roleAt Sinch, our focus is on driving growth through organic initiatives. Strong organic growth requires a solid foundation in data to be effective, guiding business strategy and building efficiencies. As part of our newly formed Analytics department, you'll collaborate with colleagues from around the world. Our primary goal is to deliver timely insights across the Sinch business, influencing operational optimization and providing tactical or strategic decision recommendations. To excel in this role, we're seeking an individual who is thorough, detail-oriented, and driven to understand the 'why' behind data patterns. Adaptability in a fast-changing environment is crucial, and an appreciation for the diversity of daily challenges is essential.Key partners for this role include multifunctional teams in areas including Product, Finance, Operations, HR, and Sales. We work in a modern tech stack with tools including Snowflake, dbt, Looker and Tableau.Key Responsibilities Insights and Reporting: Provide actionable insights through data analysis; develop and maintain reports and dashboards to track key performance indicators. Data Model Development: Create and refine models to support our stakeholders' decision-making processes. Collaboration and Integration: Work closely with various teams (i.e. Data Fabric, Data Enablement, Data Warehousing, and Product to integrate analytics into business processes effectively. Continuous Improvement: Assess internal resources, documentation, data sources, and reporting continually, striving for improved quality and accuracy. Spreading Data Culture: Collaborate with the team to support and train stakeholders, aiming to increase data-driven decision-making across our groups. Project Work: Support and drive various analytics projects and models through a deep understanding of tech/telecom data.RequirementsRequired qualificationsAt least 2 years of proficiency in Looker, Tableau or similar data visualization software.A minimum of 3 years of experience in SQL, or a comparable track record in analysing large structured and unstructured datasets.A bachelor's or master's degree is desirable, ideally in a business or quantitative subject (e.g., computer science, mathematics, engineering, science, economics, or finance).Proven experience collaborating with senior stakeholders to solve business problems through data and analytics.Fluency in English, both verbal and written.Big Plus!Experience working in a global company with colleagues and partners across multiple time zones.Telecom or Tech experience.Preferred Qualities Growth Mindset: Encourages continuous learning and development, both personally and professionally, and views challenges as opportunities for growth. Detail-Oriented: Pays meticulous attention to the nuances of data and analytics, ensuring accuracy and precision in all aspects of work. Adaptability: Demonstrates flexibility in responding to changes in the business environment, maintaining effectiveness in varying situations. Emotional Intelligence: Possesses the ability to understand and manage one's own emotions, as well as empathize with others, fostering strong workplace relationships. Innovative Mindset: Encourages thinking outside the box and embracing new ideas and technologies, keeping us at the forefront of industry advancements. Effective Communication: Exhibits strong skills in expressing ideas and complex data insights clearly and persuasively to diverse audiences.BenefitsBenefitsSinch is a global company composed of people from different countries and cultures. Our benefits adjust regionally to support employees and help them to thrive in every stage of life. We offer valuable benefits and resources, including health and life insurance, a flexible work environment, retirement savings plans, and more.Our Hiring ProcessIn Sinch, we are committed to following a recruitment process that is fair, objective, consistent, and equal opportunity. Our Talent Acquisition team, together with hiring managers and the rest of the interviewing team, persistently works towards identifying the people that best fit each open job, based on Sinch' s hiring needs and candidates' career expectations.We encourage applications from strong candidates with relevant professional backgrounds for this role. Not all applicants will meet all job requirements exactly! Don't let that stop you from considering Sinch for the next step in your career. We are always open to candidates that could bring new insights and perspectives to Sinch!This role will be accepting applications until [date - 5 business days from the time of posting] at a minimum. Please note that the application timeline may be flexible to accommodate a comprehensive candidate evaluation.                            Show more                                        Show less",2024-03-12 18:30:19.061746
Product Data Analyst - Samsung Ads,Samsung Electronics America,"Mountain View, CA",5 days ago,https://www.linkedin.com/jobs/view/product-data-analyst-samsung-ads-at-samsung-electronics-america-3845400076?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=g5zgcj5ITHMNXluwvU3qIg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Location: Mountain View, CAWe are seeking a talented Product Data Analyst with strong technical acumen and a proven track record of success to join our dynamic team.Job Description:As a Product Analyst at Samsung Ads, you will play a pivotal role in analyzing complex datasets, deriving actionable insights, and informing key business initiatives. The ideal candidate will possess a minimum of 4+ years of experience in data analysis, with a deep understanding of statistical methods and proficiency in data manipulation tools and techniques.Responsibilities:● Collaborate with cross-functional teams to understand business requirements and translate them into data analysis tasks.● Acquire, clean, and preprocess data from various sources to ensure accuracy, completeness, and reliability.● Utilize statistical techniques and data visualization tools to analyze and interpret large datasets, uncovering trends, patterns, and correlations.● Develop and maintain dashboards, reports, and visualizations to communicate findings and insights to stakeholders.● Conduct ad-hoc analysis and hypothesis testing to address specific business questions or challenges.● Identify opportunities for process improvement and automation to enhance efficiency and scalability.● Stay informed about industry trends, emerging technologies, and best practices in data analysis and visualization.● Synthesize raw data into actionable insights to drive business results, identify key trends and opportunities and report the findings in a simple, compelling way● Design and maintain data systems and databases; this includes fixing coding errors and other data-related problemsRequirements:● Bachelor's degree in a quantitative field such as Statistics, Mathematics, Economics, Computer Science, or related discipline. Advanced degree preferred.● Proven experience in data analysis, with 4+ years of hands-on experience in a similar role.● Strong proficiency in data manipulation and analysis using tools such as SQL, Python, R, or similar programming languages.● Experience working with data visualization tools such as Tableau, Power BI, or similar platforms.● Solid understanding of statistical methods and techniques, including hypothesis testing, regression analysis, and machine learning.● Excellent problem-solving skills and attention to detail, with the ability to thrive in a fast-paced environment.● Effective communication and interpersonal skills, with the ability to convey technical concepts to non-technical stakeholders.● Proactive attitude towards learning and professional development.If you are a data-driven professional with a passion for turning data into actionable insights, we encourage you to apply for this exciting opportunity.                    Show more                                        Show less",2024-03-12 18:30:28.874385
Junior Data Analyst,EY,"Jefferson County, CO",2 weeks ago,https://www.linkedin.com/jobs/view/junior-data-analyst-at-ey-3835359961?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=Occ5DQb2Y2JbsOr%2BXiCY7A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"En EY, tendrás la oportunidad de construir una carrera tan única como tú, con alcance global, apoyo, una cultura de inclusión y tecnología para convertirte en la mejor versión de ti. Contamos con tu talento y perspectiva para que EY también sea mucho mejor. Únete a nosotros y construye una experiencia excepcional para ti, y un mejor mundo de negocios para todos.Aquí en EY centrarás tu inteligencia e imaginación en los temas más cruciales y complejos a los que se enfrentan las empresas, el gobierno y la sociedad actual. A través de retos podrás llenarte de conocimientos y experiencia que desarrollen tus habilidades para contribuir al desarrollo de tu carrera profesional.La oportunidadÚnete a nuestro equipo y participa en proyectos de reporting y análisis de datos con clientes de Estados Unidos.Principales responsabilidadesLos servicios de Consultoría de EY tienen la amplitud y profundidad para proporcionar asesoría estratégica para ayudar a lograr resultados óptimos y sostenibles. Nuestro equipo global de consultores aporta una gran experiencia y un profundo rigor analítico a cada cliente. Desde el desarrollo de las primeras ideas hasta la implementación de estrategias con acciones concretas, estamos dispuestos a trabajar para definir estrategias que inspiren a sus clientes y empleados a alcanzar el gran potencial de su negocio.Habilidades y atributos para postularte exitosamentePara calificar al rol, debes contar con:Estudiantes con disponibilidad de tiempo completo, Técnico, Tecnólogo o Profesional en Ingeniería de Sistemas, Electrónica o áreas afines a tecnología.Mínimo 1 a 2 años de experiencia como analista de datos.Conocimientos sólidos en Excel, Power BI y DAX.Inglés avanzado indispensable. (EXCLUYENTE)Nice to have:Conocimientos en cubos OLAP.Lo que buscamos:Colaborar en EY es un reto, necesitamos que adoptes nuevas tecnologías todos los días además de ser progresivo e innovador, sin perder de vista los estándares de calidad a los que nuestros clientes están acostumbrados. Además, debes visualizar siempre cómo contribuir a la sociedad, analizando y pensando siempre en cómo tu labor beneficia al mundo, siendo socialmente responsable y procurando el medio ambiente.Queremos que en EY seas la mejor versión de ti mismo, por eso buscamos que veas por tu bienestar, seas curioso y abraces el cambio.Te ofrecemosTrabajar con tecnologías emergentes. Buscar nuevas oportunidades. Reinventarte cada día. Nuestra cultura de innovación en EY significa aceptar el cambio en todo lo que haces, desde la aplicación de nuevas tecnologías hasta la mejora de los procesos existentes. Tus ideas poderosas desbloquearán todo tu potencial, y el nuestro.Además, podrás tener una carrera personalizada. Cuando tú prosperas, nosotros prosperamos. El paquete de beneficios de EY va más allá, enfocándose en tu bienestar físico, emocional, financiero y social.Aprendizaje continuo: desarrollarás una mentalidad y habilidades que te lleven a navegar ante el futuro.Éxito definido por ti: te daremos herramientas y flexibilidad, de esa manera tendrás un impacto significativo de la manera que lo deseas.Liderazgo transformacional: te daremos las ideas, coaching y la confianza para ser el líder que el mundo necesita.Una cultura diversa e incluyente: te valoraremos por lo que eres y te empoderaremos para que uses tu voz y así, ayudes a otros a alzar la suya.Acerca de EYComo líder global en servicios de aseguramiento, impuestos, transacciones y asesoría, estamos utilizando los productos financieros, experiencia y sistemas que hemos desarrollado para construir un mejor entorno de negocios. Esto comienza con una cultura que te ofrece la capacitación, las oportunidades y la libertad creativa que necesitas para mejorar las cosas. Sin importar el momento en que te unas a la firma, y sin importar cuánto tiempo te quedes, la experiencia excepcional de trabajar en EY dura para toda la vida. Y con nuestro compromiso por contratar y preparar a la gente más apasionada.Si puedes demostrar que cumples con los criterios anteriores, contáctanos lo más pronto posible.Envía tu solicitud ahora.                    Show more                                        Show less",2024-03-12 18:30:37.790093
Senior Data Analyst,Walmart,"Bentonville, AR",4 days ago,https://www.linkedin.com/jobs/view/senior-data-analyst-at-walmart-3845868349?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=7Q8FWAyq9SI4OB39UuQt4A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Walmart’s Global Security, Aviation, and Investigations organization is looking for a Senior, Data Analyst to serve within the IROCC (Investigative Risk and Operational Compliance Center), the analytics center of excellence for Global Governance. This position will primarily support Global Investigations’ (GI) External Diversion and Internal Diversion team’s analytics for joint investigations, and regulatory compliance reporting.  Key responsibilities: Leverage programing languages and tools used to manipulate, analyze, visualize, and draw insights from big data sets (e.g. SQL, MS PowerBI, Tableau, Tableau Prep, Dataiku, BigQuery, etc.) Develop dynamic dashboards and reports in response to the needs and priorities of designated Internal/External Diversion Team Investigators, Legal, and HW Compliance stakeholder(s) Collaborate with investigators to provide analytics support for cases of joint interest to HW Compliance and Global Investigations (GI) Team with other members in the IROCC to drive insights and innovation across functional workstreams  You’ll sweep us off our feet if…  You have a background supporting Health and Wellness investigations, law firms, or corporate compliance teams with analytics, data governance, or eDiscovery workflows. You have a strong understanding of statistics and advanced analytics. You have strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. You have sound knowledge of managing data for experiments (sampling, labelling, EDA, etc.) You have skills in Python, SQL and “Big Data” queries (i.e. Hive or Google Big query) You have experience with data visualization and reporting using Walmart’s preferred tools: Tableau, Looker or Power BI You have strong people and communication skills to connect authentically with internal stakeholders, including Health and Well Investigators, HW Compliance, and Legal You are curious, proactive and comfortable working in unstructured environments. You have a background supporting Health and Wellness investigations, law firms, or corporate compliance teams with analytics, data governance, or eDiscovery workflows.  Bonus points if you have… Experience transforming innovative ideas into practical analytics solutions. Certifications in pharmacy, security, crime or data analysis, fraud examination, information security, geographic information systems, machine learning, or data governance disciplines                    Show more                                        Show less",2024-03-12 18:30:45.454519
Data Analyst,Peak Gardens,"Key, WV",3 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-peak-gardens-3848462254?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=WKyC%2BlZdJtTTU3nI6f8OfA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Analyst for our organization. The candidate is supposed to have good skills in healthcare administration. After this, you will have to collect, compile and process raw information. You will have to assess data, understand the patterns and identify discrepancies in it.To become an ideal candidate you are expected to have good knowledge of data sharing and storage. You must exhibit good analytical skills, communication skills, and organization skills.ResponsibilitiesIdentify the different sources of data collection and collect data from these sources.Assess data to understand the patterns and identify discrepancies if any.Develop models that can execute good number of healthcare operations.Understand data sharing and storing methods.Suggest ways to increase the quality of healthcare services, reduce expenditure and achieve the administrative goals.Work closely with the management department and other internal teams to support improvements.RequirementsProven experience as a Healthcare Data Analyst or in other relevant roles.Hands-on experience in data analysis and visualization.Good knowledge of healthcare operations and procedures.Working experience with electronic medical devices and records.Problem solving abilities.Skills: healthcare,skills,administrative,analytical skills,communication,other,data analysis,online data entry                            Show more                                        Show less",2024-03-12 18:30:53.858145
Data Analyst,Cloudflare,"Los Angeles, CA",4 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-cloudflare-3850888755?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=OZ0X6%2BCQJiFqk%2BoOMgeJnQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"About UsAt Cloudflare, we have our eyes set on an ambitious goal: to help build a better Internet. Today the company runs one of the world’s largest networks that powers approximately 25 million Internet properties, for customers ranging from individual bloggers to SMBs to Fortune 500 companies. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare all have web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was named to Entrepreneur Magazine’s Top Company Cultures list and ranked among the World’s Most Innovative Companies by Fast Company.We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!Locations - Austin or Remote USAbout The DepartmentCloudflare is looking to build and grow our data analytics/business intelligence team that will be responsible for building a large-scale enterprise modern data lake and EDW that combines massive petabyte scale traffic logs with data from various business systems supporting product, marketing, customer support, sales, finance etc. and enabling easier consumption of that data using tools to drive standard reporting, adhoc/exploratory analytics and advanced insights using data science models.About The RoleAs part of this initiative, we are looking for a strong data analyst to come join Cloudflare and help us drive analytic insights and best practices at scale from the ground up. Success in this role comes from marrying a strong data background with acute product and business acumen to deliver highly strategic and compelling insights that accelerate our business growth and influence our product decisions within Cloudflare.What we look for: Data analysis, Business Analysis, Storytelling, Strong Business & Product Acumen, Cross-functional Collaboration, Creative Problem Solving, AgileWhat you'll doFundamental understanding of the data landscape i.e tooling, tech stack, source systems etc. and work closely with the Data Engineering team to improve the data collection and quality.Understand business/product strategy and high-level roadmap and align analysis efforts to enable them with data insights and help achieve their strategic goals.Audience focused presentation and storytelling skills focused on key takeaways and recommendations in a crisp and concise manner.Ability to define and spot macro and micro levels trends with statistical significance on a regular basis and understand key drivers driving those trends.Examples Of Desirable Skills, Knowledge And ExperienceBachelor’s or Master’s Degree in Computer Science or Engineering or related experience required.3+ years of data analyst experience with 1+ years of proven industry experience in a large scale environment(PBs scale, globally distributed teams).Proven results oriented analysis that helped support positive change in the business strategy.2+ years experience with a fast-growing SaaS business based company is preferred.Strong experience in Python, R, SQL, Tableau, Google Analytics, Hive and BigQuery (or any other Big data/Cloud equivalent) etc.Capable of working closely with business including but not limited to, Engineering, Sales, Marketing, and Product teams to ensure data initiatives are aligned with business needs and is of high quality.What Makes Cloudflare Special?We’re not just a highly ambitious, large-scale technology company. We’re a highly ambitious, large-scale technology company with a soul. Fundamental to our mission to help build a better Internet is protecting the free and open Internet.Project Galileo : We equip politically and artistically important organizations and journalists with powerful tools to defend themselves against attacks that would otherwise censor their work, technology already used by Cloudflare’s enterprise customers--at no cost. Athenian Project  : We created Athenian Project to ensure that state and local governments have the highest level of protection and reliability for free, so that their constituents have access to election information and voter registration.Path Forward Partnership : Since 2016, we have partnered with Path Forward, a nonprofit organization, to create 16-week positions for mid-career professionals who want to get back to the workplace after taking time off to care for a child, parent, or loved one.1.1.1.1 : We released 1.1.1.1 to help fix the foundation of the Internet by building a faster, more secure and privacy-centric public DNS resolver. This is available publicly for everyone to use - it is the first consumer-focused service Cloudflare has ever released. Here’s the deal - we don’t store client IP addresses never, ever. We will continue to abide by our privacy commitment and ensure that no user data is sold to advertisers or used to target consumers.Sound like something you’d like to be a part of? We’d love to hear from you!This position may require access to information protected under U.S. export control laws, including the U.S. Export Administration Regulations. Please note that any offer of employment may be conditioned on your authorization to receive software or technology controlled under these U.S. export laws without sponsorship for an export license.Cloudflare is proud to be an equal opportunity employer. We are committed to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness. All qualified applicants will be considered for employment without regard to their, or any other person's, perceived or actual race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, medical condition, family care status, or any other basis protected by law. We are an AA/Veterans/Disabled Employer.Cloudflare provides reasonable accommodations to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodations include, but are not limited to, changing the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you require a reasonable accommodation to apply for a job, please contact us via e-mail at hr@cloudflare.com or via mail at 101 Townsend St. San Francisco, CA 94107.                            Show more                                        Show less",2024-03-12 18:31:01.581630
Data Analyst,Peak Gardens,"Texas City, TX",3 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-at-peak-gardens-3848457920?refId=1H0HiYMT3AUwYVX5MpRVRg%3D%3D&trackingId=aLHoEwrPtSGxxbSB%2BMfASQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Analyst for our organization. The candidate is supposed to have good skills in healthcare administration. After this, you will have to collect, compile and process raw information. You will have to assess data, understand the patterns and identify discrepancies in it.To become an ideal candidate you are expected to have good knowledge of data sharing and storage. You must exhibit good analytical skills, communication skills, and organization skills.ResponsibilitiesIdentify the different sources of data collection and collect data from these sources.Assess data to understand the patterns and identify discrepancies if any.Develop models that can execute good number of healthcare operations.Understand data sharing and storing methods.Suggest ways to increase the quality of healthcare services, reduce expenditure and achieve the administrative goals.Work closely with the management department and other internal teams to support improvements.RequirementsProven experience as a Healthcare Data Analyst or in other relevant roles.Hands-on experience in data analysis and visualization.Good knowledge of healthcare operations and procedures.Working experience with electronic medical devices and records.Problem solving abilities.Skills: healthcare,skills,administrative,analytical skills,communication,other,data analysis,online data entry                            Show more                                        Show less",2024-03-12 18:31:09.145620
